Year,Month,CPI-C Inflation (percent),WPI Inflation (percent)
2017,April,3,3.9
2017,May,2.2,2.3
2017,June,1.5,0.9
2017,July,2.4,1.9
2017,August,3.3,3.2
2017,September,3.3,3.1
2017,October,3.6,3.7
2017,November,4.9,4
2017,December,5.2,3.6
2018,January,5.1,3
2018,February,4.4,2.7
2018,March,4.3,2.7
2018,April,4.6,3.6
2018,May,4.9,4.8
2018,June,4.9,5.7
2018,July,4.2,5.3
2018,August,3.7,4.6
2018,September,3.7,5.2
2018,October,3.4,5.5
2018,November,2.3,4.5
2018,December,2.1,3.5
2019,January,2,2.8
2019,February,2.6,2.9
2019,March,2.9,3.1
2019,April,3,3.2
2019,May,3.1,2.8
2019,June,3.2,2
2019,July,3.2,1.2
2019,August,3.3,1.2
2019,September,4,0.3
2019,October,4.6,0
2019,November,5.5,0.6
2019,December,7.4,2.6
2020,January,7.6,3.1
